geo,parametre,type_indic,seq_annee,lb_annee,i_b100
46,DBO5,indic_b100,1990-1995,1990,58
47,DBO5,indic_b100,1990-1995,1990,44
48,DBO5,indic_b100,1990-1995,1990,"49,2"
64,DBO5,indic_b100,1990-1995,1990,"54,8"
65,DBO5,indic_b100,1990-1995,1990,"32,4"
79,DBO5,indic_b100,1990-1995,1990,"85,8"
81,DBO5,indic_b100,1990-1995,1990,"56,2"
82,DBO5,indic_b100,1990-1995,1990,45
bag,DBO5,indic_b100,1990-1995,1990,"56,4"
FRF_ADOU,DBO5,indic_b100,1990-1995,1990,"58,6"
FRF_CHAR,DBO5,indic_b100,1990-1995,1990,"82,4"
FRF_DORD,DBO5,indic_b100,1990-1995,1990,73
FRF_GARO,DBO5,indic_b100,1990-1995,1990,"47,6"
FRF_LITT,DBO5,indic_b100,1990-1995,1990,"78,6"
FRF_LOT,DBO5,indic_b100,1990-1995,1990,"54,6"
FRF_TARN,DBO5,indic_b100,1990-1995,1990,"47,8"
09,NH4+,indic_b100,1990-1995,1990,53
12,NH4+,indic_b100,1990-1995,1990,"49,8"
15,NH4+,indic_b100,1990-1995,1990,42
16,NH4+,indic_b100,1990-1995,1990,28
17,NH4+,indic_b100,1990-1995,1990,"50,2"
19,NH4+,indic_b100,1990-1995,1990,"15,8"
24,NH4+,indic_b100,1990-1995,1990,25
31,NH4+,indic_b100,1990-1995,1990,"23,4"
32,NH4+,indic_b100,1990-1995,1990,"12,8"
33,NH4+,indic_b100,1990-1995,1990,"21,4"
40,NH4+,indic_b100,1990-1995,1990,"50,4"
46,NH4+,indic_b100,1990-1995,1990,"73,6"
47,NH4+,indic_b100,1990-1995,1990,"29,4"
48,NH4+,indic_b100,1990-1995,1990,"29,8"
64,NH4+,indic_b100,1990-1995,1990,"63,6"
65,NH4+,indic_b100,1990-1995,1990,"22,2"
79,NH4+,indic_b100,1990-1995,1990,"82,4"
81,NH4+,indic_b100,1990-1995,1990,"39,4"
82,NH4+,indic_b100,1990-1995,1990,"38,6"
bag,NH4+,indic_b100,1990-1995,1990,"33,8"
FRF_ADOU,NH4+,indic_b100,1990-1995,1990,"59,4"
FRF_CHAR,NH4+,indic_b100,1990-1995,1990,34
